"PRODUCT_NAME","DEPARTMENT","CATEGORY","SKU","SELLER","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_COUNT","REVIEW_RATING","RunDate"
"Freeman Deep Clearing Facial Clay Mask + Cleanser, Manuka Honey + Tea Tree Oil 6 oz","Skin Care","Face Masks","253579056","Bradley Sales","Freeman",9.00,9.00,446,4.5,"2022-03-20 03:01:11"
"Neutrogena Clear Pore 2-in-1 Facial Cleanser & Clay Mask, 4.2 fl. oz","Skin Care","Face Masks","10849684","Walmart.com","Neutrogena",6.77,6.77,1082,4.3,"2022-03-20 03:01:11"
"SpaLife Fabulous Fruit Sheet Facial Mask Collection, 0.81 oz, 12 Pack","Skin Care","Face Masks","798320170","My Spa Life LLC","SpaLife",12.99,25.98,1,5.0,"2022-03-20 03:01:11"
"Hawwwy 24k Gold Eye Masks Collagen Under Eye Pads for Dark Circles, Puffy Eyes and Wrinkles","Skin Care","Face Masks","283038442","RGA HAWWWY LLC","Hawwwy",12.99,12.99,13,4.5,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Facial Peel-Off Mask Cucumber 6 oz","Skin Care","Face Masks","209091241","Pharmapacks","Freeman",7.54,7.54,47,4.3,"2022-03-20 03:01:11"
"Celavi Beauty & Cosmetics Collagen Facial Face Sheet Mask, 0.74 oz, 12 Count","Skin Care","Face Masks","461180764","No.1 Beauty & Cosmetic, Inc.","Celavi Beauty & Cosmetics",12.99,12.99,9,3.7,"2022-03-20 03:01:11"
"Equate Beauty Charcoal Pore Strips for Nose & Face Combo Pack, 14 count","Skin Care","Face Masks","120248993","Walmart.com","Equate",5.12,5.12,108,3.4,"2022-03-20 03:01:11"
"Pretty Animalz Panda Calming Sheet Mask - 1 Mask / 21 ml / 0.71 US fl Oz.","Skin Care","Face Masks","706592151","Walmart.com","Pretty Animalz",4.92,5.48,0,0.0,"2022-03-20 03:01:11"
"Yes To Tomatoes Detoxifying Bubbling Paper Mask, 0.67 fl oz","Skin Care","Face Masks","642113111","Walmart.com","Yes To",3.98,3.98,8,4.3,"2022-03-20 03:01:11"
"Under Eye Patches Gold Eye Mask Anti-Aging Hyaluronic Acid","Skin Care","Face Masks","797634857","S Pride Group","SWISSOKOLAB",13.97,13.97,13,4.5,"2022-03-20 03:01:11"
"Laneige Water Sleeping Mask EX 15 mL (6-PACK) Travel Size","Skin Care","Face Masks","683204826","BeautyPOP","Laneige",13.65,13.65,12,4.3,"2022-03-20 03:01:11"
"Olay Hydrating Overnight Gel Face Mask with Vitamin E, 50 mL","Skin Care","Face Masks","286428042","Always-Quality","Olay",13.52,13.52,141,4.5,"2022-03-20 03:01:11"
"Face Lift Double Chin Reducer Slim Shape and Firming Mask. Lipo Applicator (5 Masks)","Skin Care","Face Masks","788172859","MedactiveUSA corp","MedAcitve",23.77,23.77,80,4.5,"2022-03-20 03:01:11"
"SheaMoisture Mud Mask Packette African Black Soap 0.5 oz","Skin Care","Face Masks","52509272","Walmart.com","SheaMoisture",2.48,2.48,35,3.9,"2022-03-20 03:01:11"
"SheaMoisture African Black Soap Clarifying Mud Mask, 4 oz","Skin Care","Face Masks","50104001","Walmart.com","SheaMoisture",11.97,11.97,72,3.8,"2022-03-20 03:01:11"
"Olay 2-Step Kit, Vitamin C Mask 2.2 oz, AHA Resurfacing Peel 2 fl oz","Skin Care","Face Masks","959493211","NBO LLC","Olay",37.44,37.44,239,4.6,"2022-03-20 03:01:11"
"($75 Value) Peter Thomas Roth 24K Gold Pure Luxury Lift & Firm Hydra-Gel Eye Patches, 60 Ct","Skin Care","Face Masks","185423622","LuxMarket","Peter Thomas Roth",48.00,48.00,84,4.2,"2022-03-20 03:01:11"
"Peter Thomas Roth Pumpkin Enzyme Face Mask, 5 oz","Skin Care","Face Masks","135990022","Union Square Limited","Peter Thomas Roth",33.10,60.00,147,4.8,"2022-03-20 03:01:11"
"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz","Skin Care","Face Masks","34208870","Walmart.com","L'Oreal Paris",15.00,21.78,163,4.1,"2022-03-20 03:01:11"
"($36 Value) IMAGE Skincare Vital C Hydrating Enzyme Cream Hyaluronic Acid Facial Mask, 2 oz","Skin Care","Face Masks","120487803","LuxMarket","Image Skin Care",20.99,36.00,23,5.0,"2022-03-20 03:01:11"
"($36 Value) IMAGE Skincare Ageless Total Resurfacing Cream Salicylic Acid Facial Mask, 2 oz","Skin Care","Face Masks","159132473","LuxMarket","Image Skin Care",22.99,26.99,25,4.4,"2022-03-20 03:01:11"
"Laneige Water Sleeping Face Mask 70 ml","Skin Care","Face Masks","643404063","Premium Supplies Limited","Laneige",17.49,17.49,19,4.5,"2022-03-20 03:01:11"
"Masque Bar Pretty Animalz Unicorn Sheet Mask, 0.71 fl oz","Skin Care","Face Masks","436330920","Walmart.com","Masque Bar",3.97,3.97,10,4.3,"2022-03-20 03:01:11"
"SheaMoisture Clarifying Mud Mask African Black Soap, 6 oz","Skin Care","Face Masks","195268900","Walmart.com","SheaMoisture",14.97,14.97,2107,4.4,"2022-03-20 03:01:11"
"Freeman Feelings Beautiful Cucumber Facial Peel-Off Mask, 6.0 FL OZ","Skin Care","Face Masks","11027765","Pharmapacks","Freeman",7.30,7.30,880,4.2,"2022-03-20 03:01:11"
"QUEEN HELENE Masque Mint Julep 8 oz","Skin Care","Face Masks","26960072","HerbsPro","Queen Helene",10.30,10.30,96,4.5,"2022-03-20 03:01:11"
"QUEEN HELENE Mint Julep Masque, 12 oz","Skin Care","Face Masks","805927947","Pharmapacks","Queen Helene",9.26,9.26,16,4.5,"2022-03-20 03:01:11"
"Freeman Beauty Micro-Darts Pro - Forehead Smooth Lines & Wrinkle Reduction + Facial Moisturizing Hyaluronic Acid & Peptides","Skin Care","Face Masks","332180896","Walmart.com","Freeman",5.99,5.99,61,4.0,"2022-03-20 03:01:11"
"Laneige Lip Sleeping Mask Berry 3g (4-PACK) Travel Size","Skin Care","Face Masks","901604449","BeautyPOP","Laneige",16.95,24.00,17,4.0,"2022-03-20 03:01:11"
"Vivo Per Lei 24K Gold Collagen Peel Off Facial Mask 150g/5.3oz","Skin Care","Face Masks","852771907","Sales Direct","Vivo Per Lei",12.99,12.99,1,3.0,"2022-03-20 03:01:11"
"($52 Value) Peter Thomas Roth Therapeutic Sulfur Acne-treatment Sulfur Facial Mask, 5 oz","Skin Care","Face Masks","100536942","Walmart.com","Peter Thomas Roth",30.00,52.00,99,4.5,"2022-03-20 03:01:11"
"Blackhead Remover Mask, Blackhead Peel Off Mask, Black Face Mask by White Naturals, Charcoal Facial Mask For Deep Cleaning, Clear & Smooth Skin, Purifying &Detoxifying, Unclog Pores for Face & Nose","Skin Care","Face Masks","604424774","www.whitenaturals.com","White Naturals",6.95,6.95,11,3.0,"2022-03-20 03:01:11"
"Burt's Bees Detoxifying Charcoal Sheet Mask Single Use Sheet, 1 ct","Skin Care","Face Masks","245267627","Walmart.com","Burt's Bees",3.07,3.07,67,4.0,"2022-03-20 03:01:11"
"Facial Skin Care Mask - Oseque True Noble Soil Layering Mask (29ml10pcs) - Korean Beauty Face Mask","Skin Care","Face Masks","463453596","Stacy Lash Store","OSEQUE",19.99,19.99,3,5.0,"2022-03-20 03:01:11"
"($80 Value) Peter Thomas Roth 24K Gold Mask Anti-aging Cream Caffeine Facial Mask, 5 fl oz","Skin Care","Face Masks","113407620","Walmart.com","Peter Thomas Roth",43.99,80.00,69,4.6,"2022-03-20 03:01:11"
"Peter Thomas Roth Cucumber Gel Face Mask, 5 fl oz","Skin Care","Face Masks","52069074","LuxMarket","Peter Thomas Roth",30.99,30.99,112,4.5,"2022-03-20 03:01:11"
"($75 Value) IMAGE Skincare Ageless Total Overnight Retinol Facial Mask, 1.7 oz","Skin Care","Face Masks","919209354","LuxMarket","Image Skin Care",38.99,49.90,11,4.1,"2022-03-20 03:01:11"
"Differin Detox + Soothe 2-Step Treatment Clay Face Mask, 1.75 oz","Skin Care","Face Masks","612660187","Walmart.com","Differin",16.99,16.99,102,4.8,"2022-03-20 03:01:11"
"Naisture 15 Minutes Mask Assorted Face Sheet Mask Pack 10pc","Skin Care","Face Masks","680007545","Weekend Glow","Naisture",9.95,9.95,22,3.9,"2022-03-20 03:01:11"
"($48 Value) Peter Thomas Roth Cucumber De Tox Hydra Gel Eye Patches 60 pcs","Skin Care","Face Masks","131001586","Walmart.com","Peter Thomas Roth",35.00,52.00,83,4.1,"2022-03-20 03:01:11"
"Pretty Animalz Flamingo Hydrating Sheet Mask - 1 Mask","Skin Care","Face Masks","423534212","Walmart.com","Pretty Animalz",3.97,3.97,0,0.0,"2022-03-20 03:01:11"
"Hot and Cold Therapy Gel Bead Full Facial Mask by FOMI Care | Ice Face Mask for Migraine Headache, Stress Relief | Reduces Eye Puffiness, Dark Circles | Fabric Back | Freezable, Microwaveable","Skin Care","Face Masks","197836122","FOMI","Fomi",15.95,15.95,11,3.6,"2022-03-20 03:01:11"
"Yes To Cucumber Soothing Cooling Jelly Mask, 3 fl oz","Skin Care","Face Masks","532157572","Walmart.com","Yes To",12.98,12.98,2,4.0,"2022-03-20 03:01:11"
"MULTANI MITTI CLAY ORGANIC FACE MASK FULLERS EARTH DETOX SKIN TREATMENT 8 OZ","Skin Care","Face Masks","478663707","H&B OILS CENTER Co.","H&B Oils Center",6.99,6.99,0,0.0,"2022-03-20 03:01:11"
"Pretty Animalz Shark Sheet Mask","Skin Care","Face Masks","513180470","Walmart.com","Masque Bar",3.97,3.97,9,4.4,"2022-03-20 03:01:11"
